accessControl,dsName,queryAllowed,insertAllowed,updateAllowed,deleteAllowed,importAllowed,exportAllowed
connect,MenuItemRtLov_Ds,true,false,false,false,false,false
connect,MenuRtLov_Ds,true,false,false,false,false,false
