accessControl,dsName,queryAllowed,insertAllowed,updateAllowed,deleteAllowed,importAllowed,exportAllowed
connect,ad_MenuItemRtLov_Ds,true,false,false,false,false,false
connect,ad_MenuRtLov_Ds,true,false,false,false,false,false
